Single model 1 val loss: 0.040014296770095825	Avg EMD = 1.8060957726478248
Ensemble size 1 val loss: 0.040014296770095825	Avg EMD = -1
Single model 2 val loss: 0.038657046854496	Avg EMD = -1
Ensemble size 2 val loss: 0.04211917147040367	Avg EMD = -1
Ensemble size 2 val loss: 0.038786210119724274	Avg EMD = 1.775358168464541
Single model 3 val loss: 0.03860076144337654	Avg EMD = -1
Ensemble size 3 val loss: 0.04322369024157524	Avg EMD = -1
Single model 4 val loss: 0.038576431572437286	Avg EMD = -1
Ensemble size 4 val loss: 0.04399419575929642	Avg EMD = -1
Ensemble size 4 val loss: 0.037362128496170044	Avg EMD = 1.7250255930300327
Single model 5 val loss: 0.038171716034412384	Avg EMD = -1
Ensemble size 5 val loss: 0.04808168485760689	Avg EMD = -1
Single model 6 val loss: 0.03847643360495567	Avg EMD = -1
Ensemble size 6 val loss: 0.04645155370235443	Avg EMD = -1
Single model 7 val loss: 0.038304299116134644	Avg EMD = -1
Ensemble size 7 val loss: 0.043725255876779556	Avg EMD = -1
Single model 8 val loss: 0.0382748618721962	Avg EMD = -1
Ensemble size 8 val loss: 0.04230435937643051	Avg EMD = -1
Ensemble size 8 val loss: 0.03702804818749428	Avg EMD = 1.73482834988874
Single model 9 val loss: 0.03798732906579971	Avg EMD = -1
Ensemble size 9 val loss: 0.043169837445020676	Avg EMD = -1
Single model 10 val loss: 0.03814888000488281	Avg EMD = -1
Ensemble size 10 val loss: 0.042813703417778015	Avg EMD = -1
Single model 11 val loss: 0.038326941430568695	Avg EMD = -1
Ensemble size 11 val loss: 0.04194216430187225	Avg EMD = -1
Single model 12 val loss: 0.03839724138379097	Avg EMD = -1
Ensemble size 12 val loss: 0.043826743960380554	Avg EMD = -1
Single model 13 val loss: 0.038359906524419785	Avg EMD = -1
Ensemble size 13 val loss: 0.044400572776794434	Avg EMD = -1
Single model 14 val loss: 0.039505910128355026	Avg EMD = -1
Ensemble size 14 val loss: 0.04539770632982254	Avg EMD = -1
Single model 15 val loss: 0.03970177471637726	Avg EMD = -1
Ensemble size 15 val loss: 0.045867014676332474	Avg EMD = -1
Single model 16 val loss: 0.03960658609867096	Avg EMD = -1
Ensemble size 16 val loss: 0.04600232467055321	Avg EMD = -1
Ensemble size 16 val loss: 0.03667503222823143	Avg EMD = 1.7073509452763547
Single model 17 val loss: 0.03956929221749306	Avg EMD = -1
Ensemble size 17 val loss: 0.04523800313472748	Avg EMD = -1
Single model 18 val loss: 0.03930865228176117	Avg EMD = -1
Ensemble size 18 val loss: 0.04376772418618202	Avg EMD = -1
Single model 19 val loss: 0.03849335014820099	Avg EMD = -1
Ensemble size 19 val loss: 0.04119647294282913	Avg EMD = -1
Single model 20 val loss: 0.03943184018135071	Avg EMD = -1
Ensemble size 20 val loss: 0.042983297258615494	Avg EMD = -1
Single model 21 val loss: 0.03949664160609245	Avg EMD = -1
Ensemble size 21 val loss: 0.04266957938671112	Avg EMD = -1
Single model 22 val loss: 0.03921498358249664	Avg EMD = -1
Ensemble size 22 val loss: 0.04181355610489845	Avg EMD = -1
Single model 23 val loss: 0.039416391402482986	Avg EMD = -1
Ensemble size 23 val loss: 0.04121687263250351	Avg EMD = -1
Single model 24 val loss: 0.03940196335315704	Avg EMD = -1
Ensemble size 24 val loss: 0.040987614542245865	Avg EMD = -1
Single model 25 val loss: 0.03943560644984245	Avg EMD = -1
Ensemble size 25 val loss: 0.041141681373119354	Avg EMD = -1
Single model 26 val loss: 0.039347000420093536	Avg EMD = -1
Ensemble size 26 val loss: 0.04056485742330551	Avg EMD = -1
Single model 27 val loss: 0.03946518152952194	Avg EMD = -1
Ensemble size 27 val loss: 0.040573157370090485	Avg EMD = -1
Single model 28 val loss: 0.03950720280408859	Avg EMD = -1
Ensemble size 28 val loss: 0.04015366733074188	Avg EMD = -1
Single model 29 val loss: 0.039474908262491226	Avg EMD = -1
Ensemble size 29 val loss: 0.03991403430700302	Avg EMD = -1
Single model 30 val loss: 0.03934641554951668	Avg EMD = -1
Ensemble size 30 val loss: 0.03991267457604408	Avg EMD = -1
Single model 31 val loss: 0.03931814432144165	Avg EMD = -1
Ensemble size 31 val loss: 0.039715174585580826	Avg EMD = -1
Single model 32 val loss: 0.03936439007520676	Avg EMD = -1
Ensemble size 32 val loss: 0.03952549770474434	Avg EMD = -1
Ensemble size 32 val loss: 0.035929981619119644	Avg EMD = 1.7018512410545072
