Single model 1 val loss: 0.06796960532665253	Avg EMD = 2.0933212677924984
Ensemble size 1 val loss: 0.06796959042549133	Avg EMD = -1
Single model 2 val loss: 0.06743378937244415	Avg EMD = -1
Ensemble size 2 val loss: 0.07969654351472855	Avg EMD = -1
Ensemble size 2 val loss: 0.06706690043210983	Avg EMD = 2.0642692421432574
Single model 3 val loss: 0.06731012463569641	Avg EMD = -1
Ensemble size 3 val loss: 0.08348369598388672	Avg EMD = -1
Single model 4 val loss: 0.06708460301160812	Avg EMD = -1
Ensemble size 4 val loss: 0.07847792655229568	Avg EMD = -1
Ensemble size 4 val loss: 0.06685899943113327	Avg EMD = 2.050901844449554
Single model 5 val loss: 0.06721752136945724	Avg EMD = -1
Ensemble size 5 val loss: 0.07426024973392487	Avg EMD = -1
Single model 6 val loss: 0.06711364537477493	Avg EMD = -1
Ensemble size 6 val loss: 0.07233848422765732	Avg EMD = -1
Single model 7 val loss: 0.06717584282159805	Avg EMD = -1
Ensemble size 7 val loss: 0.07041730731725693	Avg EMD = -1
Single model 8 val loss: 0.06705453246831894	Avg EMD = -1
Ensemble size 8 val loss: 0.07010556757450104	Avg EMD = -1
Ensemble size 8 val loss: 0.06637626886367798	Avg EMD = 2.0384561022657914
Single model 9 val loss: 0.06708113849163055	Avg EMD = -1
Ensemble size 9 val loss: 0.07008367776870728	Avg EMD = -1
Single model 10 val loss: 0.0671868771314621	Avg EMD = -1
Ensemble size 10 val loss: 0.06979718059301376	Avg EMD = -1
Single model 11 val loss: 0.06717603653669357	Avg EMD = -1
Ensemble size 11 val loss: 0.06956662237644196	Avg EMD = -1
Single model 12 val loss: 0.06705168634653091	Avg EMD = -1
Ensemble size 12 val loss: 0.06868533790111542	Avg EMD = -1
Single model 13 val loss: 0.06716547906398773	Avg EMD = -1
Ensemble size 13 val loss: 0.06847162544727325	Avg EMD = -1
Single model 14 val loss: 0.06718192994594574	Avg EMD = -1
Ensemble size 14 val loss: 0.06855310499668121	Avg EMD = -1
Single model 15 val loss: 0.06705490499734879	Avg EMD = -1
Ensemble size 15 val loss: 0.0680328905582428	Avg EMD = -1
Single model 16 val loss: 0.06735462695360184	Avg EMD = -1
Ensemble size 16 val loss: 0.0680357813835144	Avg EMD = -1
Ensemble size 16 val loss: 0.06617660075426102	Avg EMD = 2.0342562622515397
Single model 17 val loss: 0.06721681356430054	Avg EMD = -1
Ensemble size 17 val loss: 0.06801444292068481	Avg EMD = -1
Single model 18 val loss: 0.06719635426998138	Avg EMD = -1
Ensemble size 18 val loss: 0.06765194237232208	Avg EMD = -1
Single model 19 val loss: 0.06710746884346008	Avg EMD = -1
Ensemble size 19 val loss: 0.0672372356057167	Avg EMD = -1
Single model 20 val loss: 0.0672328844666481	Avg EMD = -1
Ensemble size 20 val loss: 0.06683181971311569	Avg EMD = -1
Single model 21 val loss: 0.0672520250082016	Avg EMD = -1
Ensemble size 21 val loss: 0.06671179085969925	Avg EMD = -1
Single model 22 val loss: 0.06721210479736328	Avg EMD = -1
Ensemble size 22 val loss: 0.06652939319610596	Avg EMD = -1
Single model 23 val loss: 0.06735339760780334	Avg EMD = -1
Ensemble size 23 val loss: 0.06632762402296066	Avg EMD = -1
Single model 24 val loss: 0.06732430309057236	Avg EMD = -1
Ensemble size 24 val loss: 0.06624525040388107	Avg EMD = -1
Single model 25 val loss: 0.0673769935965538	Avg EMD = -1
Ensemble size 25 val loss: 0.0672203078866005	Avg EMD = -1
Single model 26 val loss: 0.06772755831480026	Avg EMD = -1
Ensemble size 26 val loss: 0.06780458241701126	Avg EMD = -1
Single model 27 val loss: 0.06752628087997437	Avg EMD = -1
Ensemble size 27 val loss: 0.06859619915485382	Avg EMD = -1
Single model 28 val loss: 0.06772805005311966	Avg EMD = -1
Ensemble size 28 val loss: 0.06845281273126602	Avg EMD = -1
Single model 29 val loss: 0.06758906692266464	Avg EMD = -1
Ensemble size 29 val loss: 0.06841729581356049	Avg EMD = -1
Single model 30 val loss: 0.06763792783021927	Avg EMD = -1
Ensemble size 30 val loss: 0.06850679218769073	Avg EMD = -1
Single model 31 val loss: 0.06747089326381683	Avg EMD = -1
Ensemble size 31 val loss: 0.0681646466255188	Avg EMD = -1
Single model 32 val loss: 0.06756655871868134	Avg EMD = -1
Ensemble size 32 val loss: 0.06857237219810486	Avg EMD = -1
Ensemble size 32 val loss: 0.06587578356266022	Avg EMD = 2.0213488276231737
