Single model 1 val loss: 0.03747820109128952	Avg EMD = 1.7988165662009055
Ensemble size 1 val loss: 0.03747820109128952	Avg EMD = -1
Single model 2 val loss: 0.03698940575122833	Avg EMD = -1
Ensemble size 2 val loss: 0.040789857506752014	Avg EMD = -1
Ensemble size 2 val loss: 0.03649478405714035	Avg EMD = 1.7700995169021636
Single model 3 val loss: 0.03716180846095085	Avg EMD = -1
Ensemble size 3 val loss: 0.04441697150468826	Avg EMD = -1
Single model 4 val loss: 0.03676057979464531	Avg EMD = -1
Ensemble size 4 val loss: 0.04478088766336441	Avg EMD = -1
Ensemble size 4 val loss: 0.0355246439576149	Avg EMD = 1.7096206047193672
Single model 5 val loss: 0.03675813600420952	Avg EMD = -1
Ensemble size 5 val loss: 0.041912741959095	Avg EMD = -1
Single model 6 val loss: 0.037064190953969955	Avg EMD = -1
Ensemble size 6 val loss: 0.040106430649757385	Avg EMD = -1
Single model 7 val loss: 0.037111349403858185	Avg EMD = -1
Ensemble size 7 val loss: 0.03901226073503494	Avg EMD = -1
Single model 8 val loss: 0.03785533085465431	Avg EMD = -1
Ensemble size 8 val loss: 0.03913014754652977	Avg EMD = -1
Ensemble size 8 val loss: 0.0348096638917923	Avg EMD = 1.686185870228908
Single model 9 val loss: 0.03661198168992996	Avg EMD = -1
Ensemble size 9 val loss: 0.03909459710121155	Avg EMD = -1
Single model 10 val loss: 0.037100594490766525	Avg EMD = -1
Ensemble size 10 val loss: 0.03830157220363617	Avg EMD = -1
Single model 11 val loss: 0.03685875982046127	Avg EMD = -1
Ensemble size 11 val loss: 0.039002131670713425	Avg EMD = -1
Single model 12 val loss: 0.036158669739961624	Avg EMD = -1
Ensemble size 12 val loss: 0.03790769726037979	Avg EMD = -1
Single model 13 val loss: 0.036192942410707474	Avg EMD = -1
Ensemble size 13 val loss: 0.037173088639974594	Avg EMD = -1
Single model 14 val loss: 0.03629530221223831	Avg EMD = -1
Ensemble size 14 val loss: 0.03647151216864586	Avg EMD = -1
Single model 15 val loss: 0.0352894589304924	Avg EMD = -1
Ensemble size 15 val loss: 0.036856621503829956	Avg EMD = -1
Single model 16 val loss: 0.035307127982378006	Avg EMD = -1
Ensemble size 16 val loss: 0.03486040607094765	Avg EMD = -1
Ensemble size 16 val loss: 0.03299673646688461	Avg EMD = 1.6575781012658997
Single model 17 val loss: 0.03502778336405754	Avg EMD = -1
Ensemble size 17 val loss: 0.03572286665439606	Avg EMD = -1
Single model 18 val loss: 0.03506477549672127	Avg EMD = -1
Ensemble size 18 val loss: 0.036317553371191025	Avg EMD = -1
Single model 19 val loss: 0.03493490815162659	Avg EMD = -1
Ensemble size 19 val loss: 0.035058196634054184	Avg EMD = -1
Single model 20 val loss: 0.035017818212509155	Avg EMD = -1
Ensemble size 20 val loss: 0.035256512463092804	Avg EMD = -1
Single model 21 val loss: 0.03488888964056969	Avg EMD = -1
Ensemble size 21 val loss: 0.03469203785061836	Avg EMD = -1
Single model 22 val loss: 0.03479190170764923	Avg EMD = -1
Ensemble size 22 val loss: 0.034649357199668884	Avg EMD = -1
Single model 23 val loss: 0.03492201864719391	Avg EMD = -1
Ensemble size 23 val loss: 0.034714195877313614	Avg EMD = -1
Single model 24 val loss: 0.035439833998680115	Avg EMD = -1
Ensemble size 24 val loss: 0.03445661440491676	Avg EMD = -1
Single model 25 val loss: 0.03482554480433464	Avg EMD = -1
Ensemble size 25 val loss: 0.034104123711586	Avg EMD = -1
Single model 26 val loss: 0.03524158149957657	Avg EMD = -1
Ensemble size 26 val loss: 0.0347725935280323	Avg EMD = -1
Single model 27 val loss: 0.0348663367331028	Avg EMD = -1
Ensemble size 27 val loss: 0.034871432930231094	Avg EMD = -1
Single model 28 val loss: 0.03442554548382759	Avg EMD = -1
Ensemble size 28 val loss: 0.03470877930521965	Avg EMD = -1
Single model 29 val loss: 0.0350022129714489	Avg EMD = -1
Ensemble size 29 val loss: 0.034359972923994064	Avg EMD = -1
Single model 30 val loss: 0.034675054252147675	Avg EMD = -1
Ensemble size 30 val loss: 0.03417219966650009	Avg EMD = -1
Single model 31 val loss: 0.03484802693128586	Avg EMD = -1
Ensemble size 31 val loss: 0.034049879759550095	Avg EMD = -1
Single model 32 val loss: 0.03493277356028557	Avg EMD = -1
Ensemble size 32 val loss: 0.033948350697755814	Avg EMD = -1
Ensemble size 32 val loss: 0.03253437206149101	Avg EMD = 1.637273925048967
