Single model 1 val loss: 0.04046550393104553	Avg EMD = 2.006704677454483
Ensemble size 1 val loss: 0.040465500205755234	Avg EMD = -1
Single model 2 val loss: 0.038517989218235016	Avg EMD = -1
Ensemble size 2 val loss: 0.03765886649489403	Avg EMD = -1
Ensemble size 2 val loss: 0.033601801842451096	Avg EMD = 1.8507498109709357
Single model 3 val loss: 0.04124518483877182	Avg EMD = -1
Ensemble size 3 val loss: 0.04454563185572624	Avg EMD = -1
Single model 4 val loss: 0.04021323472261429	Avg EMD = -1
Ensemble size 4 val loss: 0.04664288088679314	Avg EMD = -1
Ensemble size 4 val loss: 0.029003391042351723	Avg EMD = 1.7651411851658583
Single model 5 val loss: 0.0406203493475914	Avg EMD = -1
Ensemble size 5 val loss: 0.04356761276721954	Avg EMD = -1
Single model 6 val loss: 0.04202067852020264	Avg EMD = -1
Ensemble size 6 val loss: 0.04487619176506996	Avg EMD = -1
Single model 7 val loss: 0.041795697063207626	Avg EMD = -1
Ensemble size 7 val loss: 0.05044056847691536	Avg EMD = -1
Single model 8 val loss: 0.04247797653079033	Avg EMD = -1
Ensemble size 8 val loss: 0.05978965759277344	Avg EMD = -1
Ensemble size 8 val loss: 0.02948714606463909	Avg EMD = 1.731906331444798
Single model 9 val loss: 0.043381523340940475	Avg EMD = -1
Ensemble size 9 val loss: 0.056205395609140396	Avg EMD = -1
Single model 10 val loss: 0.04340511932969093	Avg EMD = -1
Ensemble size 10 val loss: 0.05361338332295418	Avg EMD = -1
Single model 11 val loss: 0.04454535245895386	Avg EMD = -1
Ensemble size 11 val loss: 0.05529897287487984	Avg EMD = -1
Single model 12 val loss: 0.044907476752996445	Avg EMD = -1
Ensemble size 12 val loss: 0.05455400049686432	Avg EMD = -1
Single model 13 val loss: 0.050864327698946	Avg EMD = -1
Ensemble size 13 val loss: 0.053996145725250244	Avg EMD = -1
Single model 14 val loss: 0.052860453724861145	Avg EMD = -1
Ensemble size 14 val loss: 0.059523724019527435	Avg EMD = -1
Single model 15 val loss: 0.05313403531908989	Avg EMD = -1
Ensemble size 15 val loss: 0.06362070888280869	Avg EMD = -1
Single model 16 val loss: 0.05398500710725784	Avg EMD = -1
Ensemble size 16 val loss: 0.06856049597263336	Avg EMD = -1
Ensemble size 16 val loss: 0.029472630470991135	Avg EMD = 1.7673062593587237
Single model 17 val loss: 0.054087795317173004	Avg EMD = -1
Ensemble size 17 val loss: 0.06878200173377991	Avg EMD = -1
Single model 18 val loss: 0.054667968302965164	Avg EMD = -1
Ensemble size 18 val loss: 0.06909975409507751	Avg EMD = -1
Single model 19 val loss: 0.05618347227573395	Avg EMD = -1
Ensemble size 19 val loss: 0.0690755769610405	Avg EMD = -1
Single model 20 val loss: 0.05675389617681503	Avg EMD = -1
Ensemble size 20 val loss: 0.0691671147942543	Avg EMD = -1
Single model 21 val loss: 0.05626509338617325	Avg EMD = -1
Ensemble size 21 val loss: 0.08902868628501892	Avg EMD = -1
Single model 22 val loss: 0.057040367275476456	Avg EMD = -1
Ensemble size 22 val loss: 0.1422082781791687	Avg EMD = -1
Single model 23 val loss: 0.057477083057165146	Avg EMD = -1
Ensemble size 23 val loss: 0.11588343232870102	Avg EMD = -1
Single model 24 val loss: 0.058548226952552795	Avg EMD = -1
Ensemble size 24 val loss: 0.1510646939277649	Avg EMD = -1
Single model 25 val loss: 0.059580348432064056	Avg EMD = -1
Ensemble size 25 val loss: 0.18760986626148224	Avg EMD = -1
Single model 26 val loss: 0.060078393667936325	Avg EMD = -1
Ensemble size 26 val loss: 0.18129509687423706	Avg EMD = -1
Single model 27 val loss: 0.059909168630838394	Avg EMD = -1
Ensemble size 27 val loss: 0.16482768952846527	Avg EMD = -1
Single model 28 val loss: 0.062093812972307205	Avg EMD = -1
Ensemble size 28 val loss: 0.23741203546524048	Avg EMD = -1
Single model 29 val loss: 0.060878265649080276	Avg EMD = -1
Ensemble size 29 val loss: 0.20047634840011597	Avg EMD = -1
Single model 30 val loss: 0.06308465451002121	Avg EMD = -1
Ensemble size 30 val loss: 0.1620432436466217	Avg EMD = -1
Single model 31 val loss: 0.06326093524694443	Avg EMD = -1
Ensemble size 31 val loss: 0.15950138866901398	Avg EMD = -1
Single model 32 val loss: 0.06514156609773636	Avg EMD = -1
Ensemble size 32 val loss: 0.17867517471313477	Avg EMD = -1
Ensemble size 32 val loss: 0.0327150821685791	Avg EMD = 1.8201977202196165
